"Address","Content Type","Size (bytes)","IMG Inlinks","Indexability","Indexability Status","Dimensions"
"https://static.wixstatic.com/media/a24ea3_787e669aa7254203b2996695f6fce603~mv2.jpg/v1/crop/x_432,y_150,w_426,h_426/fill/w_59,h_60,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/Fire%20TV%20.jpg","image/jpeg","2117","9","Indexable","",""
"https://static.wixstatic.com/media/a24ea3_8575e90624de44239b3e5a47e3c7d4e0f000.jpg/v1/fill/w_498,h_623,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/a24ea3_8575e90624de44239b3e5a47e3c7d4e0f000.jpg","image/jpeg","23438","1","Indexable","",""
"https://static.wixstatic.com/media/a24ea3_ee577ab3aeb145dda50b62306fa8220c~mv2.jpg/v1/crop/x_44,y_286,w_769,h_231/fill/w_175,h_52,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/a24ea3_ee577ab3aeb145dda50b62306fa8220c~mv2.jpg","image/jpeg","4716","1","Indexable","",""
"https://static.wixstatic.com/media/84770f_3ebbf7ac3e26427b83ca50c82aabaaf8~mv2.png/v1/fill/w_980,h_279,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/84770f_3ebbf7ac3e26427b83ca50c82aabaaf8~mv2.png","image/png","5639","1","Indexable","",""
"https://static.wixstatic.com/media/e6458b8ae1e8425fac732b88018b8ae9.jpg/v1/fill/w_490,h_293,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/e6458b8ae1e8425fac732b88018b8ae9.jpg","image/jpeg","24831","1","Indexable","",""
"https://static.wixstatic.com/media/a24ea3_787e669aa7254203b2996695f6fce603~mv2.jpg/v1/crop/x_432,y_150,w_426,h_426/fill/w_129,h_129,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/Fire%20TV%20.jpg","image/jpeg","4723","1","Indexable","",""
"https://static.wixstatic.com/media/a24ea3_4a6c9be7ee184db0bf2b34457464f926~mv2.avif/v1/fill/w_530,h_172,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/a24ea3_4a6c9be7ee184db0bf2b34457464f926~mv2.avif","image/avif","16625","9","Indexable","",""
"https://static.wixstatic.com/media/7c7ed1f7f96a4740be0df4f223475588.jpg/v1/fill/w_490,h_327,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/7c7ed1f7f96a4740be0df4f223475588.jpg","image/jpeg","41213","1","Indexable","",""
"https://static.wixstatic.com/media/a24ea3_ee577ab3aeb145dda50b62306fa8220c~mv2.jpg/v1/crop/x_42,y_12,w_769,h_235/fill/w_175,h_53,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/a24ea3_ee577ab3aeb145dda50b62306fa8220c~mv2.jpg","image/jpeg","4835","1","Indexable","",""
"https://static.wixstatic.com/media/a24ea3_50db07a9187245d9b743e7181b9418ce~mv2.png/v1/fill/w_59,h_60,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Roku%20TV.png","image/png","3189","9","Indexable","",""
"https://static.wixstatic.com/media/a24ea3_2c49508b0c4449c9aa3f536d971c7e9b~mv2.png/v1/crop/x_373,y_89,w_454,h_454/fill/w_129,h_129,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Apple%20TV.png","image/png","14175","1","Indexable","",""
"https://static.wixstatic.com/media/193f5a07ba2145cc8c7ad7062961e0fb.jpg/v1/fill/w_980,h_653,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/193f5a07ba2145cc8c7ad7062961e0fb.jpg","image/jpeg","262721","1","Indexable","",""
